date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:45:40	29785/29785	---MCZ	200	added ('OK')	text/html	etag:W/%225f241f01-7459%22	http://kotlis.kwst.net/light/about.html	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/about.html	(from http://kotlis.kwst.net/light/index.html)
22:45:41	21247/21247	---MCZ	200	added ('OK')	text/html	etag:W/%225f241f01-52ff%22	http://kotlis.kwst.net/light/blog.html	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/blog.html	(from http://kotlis.kwst.net/light/index.html)
22:45:41	16849/16849	---MCZ	200	added ('OK')	text/html	etag:W/%225f241f01-41d1%22	http://kotlis.kwst.net/light/contacts.html	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/contacts.html	(from http://kotlis.kwst.net/light/index.html)
22:46:19	228985/228985	---M--	200	added ('OK')	image/jpeg	etag:%225c7e7fa3-37e79%22	http://kotlis.kwst.net/light/images/bg/2.jpg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/bg/2.jpg	(from http://kotlis.kwst.net/light/index.html)
22:46:39	350259/350259	---M--	200	added ('OK')	image/jpeg	etag:%225c7e7fa6-55833%22	http://kotlis.kwst.net/light/images/bg/3.jpg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/bg/3.jpg	(from http://kotlis.kwst.net/light/index.html)
22:46:44	151313/151313	---M--	200	added ('OK')	image/jpeg	etag:%225c7e7fad-24f11%22	http://kotlis.kwst.net/light/images/bg/5.jpg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/bg/5.jpg	(from http://kotlis.kwst.net/light/index.html)
22:46:53	444350/444350	---M--	200	added ('OK')	image/jpeg	etag:%225c7e7fbf-6c7be%22	http://kotlis.kwst.net/light/images/bg/11.jpg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/bg/11.jpg	(from http://kotlis.kwst.net/light/index.html)
22:47:01	85591/85591	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b040e08-14e57%22	http://kotlis.kwst.net/light/js/jquery.min.js	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/js/jquery.min.js	(from http://kotlis.kwst.net/light/index.html)
22:47:08	155743/155743	---M--	200	added ('OK')	image/jpeg	etag:%225c7e7fb3-2605f%22	http://kotlis.kwst.net/light/images/bg/7.jpg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/bg/7.jpg	(from http://kotlis.kwst.net/light/index.html)
22:47:12	40512/40512	---MCZ	200	added ('OK')	application/javascript	etag:W/%22612f7810-9e40%22	http://kotlis.kwst.net/light/js/scripts.js	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/js/scripts.js	(from http://kotlis.kwst.net/light/index.html)
